12:23:34,-5.891,-10.256,0.949;-0.415;0.169
12:23:35,-5.448,-10.576,0.948;-0.420;0.160
12:23:36,-5.739,-10.810,0.941;-0.413;0.167
12:23:38,-5.661,-10.413,0.946;-0.417;0.169
12:23:39,-5.854,-10.558,0.938;-0.413;0.168
12:23:40,-5.558,-10.893,0.950;-0.404;0.158
12:23:42,-5.825,-10.635,0.940;-0.409;0.160
12:23:43,-5.829,-10.450,0.945;-0.414;0.168
12:23:45,-5.879,-10.478,0.945;-0.410;0.166
12:23:46,-5.787,-10.132,0.938;-0.412;0.159
12:23:47,-5.700,-10.625,0.942;-0.415;0.156
12:23:48,-5.788,-10.382,0.945;-0.412;0.159
12:23:49,-5.331,-10.545,0.945;-0.411;0.159
12:23:50,-5.545,-10.882,0.949;-0.406;0.162
12:23:51,-5.470,-10.153,0.947;-0.415;0.163
12:23:52,-5.768,-10.929,0.943;-0.411;0.164
12:23:53,-5.798,-10.931,0.943;-0.412;0.164
12:23:54,-5.853,-10.379,0.943;-0.416;0.158
12:23:55,-6.026,-10.263,0.943;-0.416;0.169
12:23:56,-5.480,-10.493,0.940;-0.404;0.165
12:23:57,-5.804,-10.473,0.946;-0.406;0.161
12:23:58,-5.285,-9.929,0.947;-0.416;0.158
12:23:59,-5.627,-10.629,0.939;-0.408;0.170
12:24:00,-5.576,-10.409,0.950;-0.410;0.167
12:24:01,-5.929,-9.663,0.946;-0.412;0.163
12:24:02,-5.986,-10.648,0.946;-0.409;0.156
12:24:03,-5.808,-10.002,0.942;-0.403;0.159
12:24:04,-5.583,-11.024,0.944;-0.411;0.160
12:24:05,-5.650,-10.672,0.942;-0.406;0.157
12:24:07,-5.865,-10.692,0.940;-0.415;0.150
12:24:07,-5.978,-10.542,0.952;-0.403;0.161
12:24:09,-6.026,-10.482,0.939;-0.410;0.157
12:24:10,-5.947,-10.897,0.948;-0.410;0.163
12:24:11,-5.840,-10.063,0.954;-0.406;0.154
12:24:12,-5.532,-10.418,0.944;-0.409;0.160
12:24:13,-5.477,-10.526,0.946;-0.411;0.159
12:24:14,-5.737,-10.581,0.938;-0.422;0.146
12:24:15,-5.805,-10.779,0.945;-0.405;0.169
12:24:16,-5.604,-10.442,0.945;-0.417;0.156
12:24:17,-5.705,-10.717,0.942;-0.407;0.153
12:24:18,-5.675,-10.671,0.943;-0.413;0.166
12:24:19,-5.495,-10.541,0.945;-0.408;0.160
12:24:20,-5.582,-10.730,0.940;-0.402;0.160
12:24:21,-5.650,-10.599,0.944;-0.406;0.158
12:24:22,-5.666,-10.495,0.940;-0.404;0.158
12:24:23,-5.831,-10.591,0.945;-0.400;0.161
12:24:24,-5.933,-10.428,0.946;-0.407;0.156
12:24:25,-5.811,-10.541,0.940;-0.408;0.165
12:24:26,-5.528,-10.460,0.941;-0.406;0.152
12:24:27,-5.693,-10.564,0.942;-0.402;0.164
12:24:28,-5.781,-10.749,0.940;-0.404;0.158
12:24:29,-5.773,-10.624,0.940;-0.411;0.160
12:24:30,-5.726,-10.469,0.942;-0.404;0.161
12:24:31,-5.615,-10.737,0.940;-0.406;0.161
12:24:32,-5.720,-10.528,0.949;-0.408;0.155
12:24:33,-5.711,-10.671,0.951;-0.404;0.154
12:24:34,-5.789,-10.793,0.950;-0.414;0.155
12:24:35,-6.224,-10.315,0.945;-0.403;0.154
12:24:36,-5.677,-10.445,0.946;-0.401;0.167
12:24:37,-4.064,-10.676,0.943;-0.403;0.159
12:24:38,-5.725,-10.361,0.950;-0.403;0.175
12:24:39,-5.582,-10.530,0.944;-0.400;0.157
12:24:40,-5.877,-10.537,0.942;-0.405;0.153
12:24:41,-5.696,-9.880,0.943;-0.410;0.166
12:24:42,-5.504,-11.687,0.936;-0.406;0.158
12:24:44,-5.707,-10.457,0.936;-0.403;0.167
12:24:46,-5.622,-10.626,0.949;-0.406;0.166
12:24:47,-5.584,-10.850,0.942;-0.403;0.151
12:24:48,-5.710,-10.311,0.940;-0.410;0.165
12:24:49,-5.745,-10.627,0.946;-0.409;0.167
12:24:51,-5.794,-10.623,0.942;-0.398;0.166
12:24:52,-5.704,-10.465,0.949;-0.411;0.165
12:24:53,-6.737,-10.336,0.946;-0.405;0.158
12:24:54,-5.580,-9.027,0.949;-0.404;0.159
12:24:55,-6.000,-10.930,0.944;-0.401;0.170
12:24:57,-5.573,-10.880,0.943;-0.397;0.172
12:24:58,-5.611,-10.629,0.931;-0.403;0.164
12:24:59,-5.684,-10.501,0.933;-0.396;0.164
12:25:00,-5.584,-10.682,0.941;-0.400;0.147
12:25:01,-5.616,-10.638,0.944;-0.404;0.159
12:25:03,-5.646,-10.482,0.938;-0.396;0.157
12:25:05,-6.046,-10.552,0.939;-0.412;0.171
12:25:06,-5.522,-10.660,0.939;-0.410;0.164
12:25:07,-6.060,-10.650,0.925;-0.394;0.165
12:25:08,-5.779,-10.403,0.908;-0.409;0.171
12:25:09,-5.646,-10.587,0.904;-0.408;0.174
12:25:10,-5.574,-10.666,0.902;-0.410;0.173
12:25:11,-5.851,-10.654,0.902;-0.411;0.162
12:25:13,-5.701,-10.651,0.902;-0.411;0.174
12:25:15,-5.671,-10.685,0.903;-0.407;0.171
12:25:16,-5.810,-10.487,0.905;-0.409;0.166
12:25:17,-5.353,-10.570,0.914;-0.405;0.169
12:25:18,-6.206,-10.632,0.905;-0.401;0.164
12:25:19,-7.668,-8.502,0.949;-0.406;0.160
12:25:21,-5.384,-10.508,0.947;-0.404;0.159
12:25:22,-5.745,-10.851,0.949;-0.410;0.164
12:25:24,-4.527,-9.889,0.955;-0.408;0.163
12:25:26,-6.812,-10.168,0.947;-0.407;0.165
12:25:27,-5.705,-10.609,0.947;-0.408;0.156
12:25:28,-6.336,-10.199,0.940;-0.415;0.154
12:25:30,-5.747,-10.417,0.947;-0.407;0.173
12:25:31,-6.061,-10.378,0.952;-0.409;0.150
12:25:33,-6.017,-10.521,0.944;-0.411;0.161
12:25:34,-5.559,-10.732,0.942;-0.415;0.165
12:25:35,-5.672,-10.630,0.942;-0.413;0.164
12:25:36,-5.892,-11.381,0.949;-0.403;0.167
12:25:37,-5.885,-10.715,0.948;-0.411;0.154
12:25:39,-5.721,-10.028,0.946;-0.408;0.141
12:25:40,-5.712,-10.649,0.947;-0.411;0.159
12:25:42,-5.463,-10.589,0.944;-0.416;0.173
12:25:43,-5.498,-10.530,0.947;-0.411;0.169
12:25:44,-5.520,-10.389,0.949;-0.415;0.162
12:25:45,-5.761,-10.565,0.945;-0.415;0.153
12:25:46,-5.327,-11.169,0.943;-0.408;0.154
12:25:47,-5.663,-10.890,0.923;-0.399;0.153
