
-0.806,4.071,-0.028;-0.328;-0.682,19.500
-0.564,3.966,-0.030;-0.329;-0.694,19.500
-1.293,3.996,-0.026;-0.336;-0.683,19.500
0.822,3.873,-0.030;-0.322;-0.668,19.500
-0.437,4.296,-0.026;-0.316;-0.680,19.500
-0.669,4.046,-0.020;-0.314;-0.693,19.500
-0.533,4.309,-0.032;-0.323;-0.680,20.500
-0.587,3.173,-0.025;-0.317;-0.683,19.500
0.248,4.288,-0.037;-0.312;-0.655,19.500
-1.056,2.663,-0.033;-0.308;-0.632,19.500
-0.402,2.450,-0.064;-0.300;-0.639,19.500
-0.069,2.695,-0.061;-0.303;-0.637,19.500
-0.521,2.195,-0.051;-0.292;-0.633,19.500
-0.521,1.977,-0.044;-0.294;-0.638,19.500
-0.235,4.118,-0.075;-0.297;-0.645,19.500
-0.310,2.427,-0.063;-0.271;-0.639,20.500
-0.399,1.977,-0.020;-0.320;-0.650,19.500
-0.265,2.197,-0.003;-0.312;-0.652,19.500
-0.042,3.602,-0.033;-0.329;-0.659,19.500
2.271,-0.632,-0.024;-0.314;-0.650,19.500
-0.698,2.408,-0.025;-0.317;-0.655,19.500
-0.058,2.756,-0.034;-0.334;-0.658,19.500
0.455,2.563,-0.025;-0.318;-0.658,19.500
-0.339,2.747,-0.016;-0.324;-0.648,19.500
-0.138,2.538,-0.021;-0.321;-0.654,19.500
-0.373,1.989,-0.030;-0.320;-0.633,19.500
-0.293,2.414,-0.016;-0.319;-0.658,19.500
-0.241,2.398,-0.019;-0.323;-0.641,19.500
0.286,2.680,-0.014;-0.320;-0.640,19.500
-0.282,2.566,-0.033;-0.320;-0.641,19.500
-0.086,2.040,-0.021;-0.329;-0.642,19.500
0.077,2.951,-0.034;-0.324;-0.641,19.500
-0.389,2.228,-0.025;-0.316;-0.644,20.500
-0.368,2.554,-0.027;-0.322;-0.639,19.500
-0.327,2.572,-0.026;-0.316;-0.645,19.500
-0.679,2.528,-0.022;-0.315;-0.655,19.500
-0.438,2.884,-0.024;-0.319;-0.657,19.500
-14.249,2.218,-0.070;-0.247;-0.650,19.500
-0.433,2.352,-0.048;-0.324;-0.635,19.500
-0.124,2.484,-0.053;-0.324;-0.627,19.500
-0.079,2.010,-0.044;-0.313;-0.626,19.500
-0.323,2.564,-0.044;-0.312;-0.634,19.500
-0.372,2.227,-0.046;-0.323;-0.618,19.500
-0.679,2.348,-0.047;-0.310;-0.628,19.500
-0.381,2.442,-0.051;-0.314;-0.632,19.500
-0.445,2.308,-0.051;-0.311;-0.644,19.500
-0.588,2.455,-0.047;-0.313;-0.628,19.500
-0.176,2.331,-0.041;-0.312;-0.644,19.500
1.588,4.669,-0.044;-0.312;-0.639,19.500
-0.375,2.578,-0.048;-0.326;-0.637,20.500
-0.366,2.402,-0.054;-0.323;-0.633,19.500
0.127,1.754,-0.061;-0.309;-0.628,19.500
-0.201,2.361,-0.049;-0.320;-0.625,19.500
-0.630,0.978,-0.051;-0.315;-0.618,20.500
-0.416,2.605,-0.040;-0.319;-0.625,20.500
-0.442,2.717,-0.044;-0.313;-0.628,19.500
-0.264,2.624,-0.037;-0.325;-0.627,19.500
-0.447,2.708,-0.049;-0.328;-0.639,19.500
-0.362,2.353,-0.046;-0.317;-0.629,19.500
-0.424,2.515,-0.046;-0.327;-0.635,19.500
-0.395,2.370,-0.049;-0.319;-0.630,19.500
-0.365,2.345,-0.047;-0.317;-0.636,19.500
-0.461,2.491,-0.049;-0.320;-0.649,19.500
-0.178,2.539,-0.046;-0.319;-0.638,19.500
